key,numeric type,string type,ID,time ratio,number of line segments,mean speed,standard deviation in speed,number of acceleration points,length,ratio of width to length,type of cargo,receiver class,number of neighbors
CALLWDK7526_MMSI368085240,37,Pleasure Craft/Sailing,call sign,0.0644,0.5075,0.4715,0.4726,0.4502,0.3318,0.3333,0,B,0.0046
CALLWDK7529_MMSI368085270,37,Pleasure Craft/Sailing,call sign,0.0122,0.5,0.4351,0.4889,0.4502,0.4256,0.3158,0,B,0.0046
CALLWDK7533_MMSI368085320,36,Pleasure Craft/Sailing,call sign,0.0457,0.51,0.4648,0.4675,0.525,0.2891,0.3077,0,B,0.4017
CALLWDK7538_MMSI368085370,37,Pleasure Craft/Sailing,call sign,0.0204,0.505,0.7669,0.5309,0.4502,0.3543,0.3125,0,B,0.0046
CALLWDK7551_MMSI368085520,37,Pleasure Craft/Sailing,call sign,0.0255,0.505,0.6961,0.5218,0.4502,0.2891,0.3077,0,B,0.0046
CALLWDK7557_MMSI368085570,37,Pleasure Craft/Sailing,call sign,0.0009,0.4975,0.4253,0.4703,0.4502,0.5498,0.3333,0,B,0.0046
CALLWDK7581_MMSI368085810,60,Passenger,call sign,0.2613,0.5125,0.6123,0.5203,0.4502,0.832,0.2105,3.0,A,0.2862
CALLWDK7597_MMSI368085920,37,Pleasure Craft/Sailing,call sign,0.0761,0.5125,0.5212,0.4777,0.4502,0.6225,0.2222,0,B,0.2294
CALLWDK7604_MMSI368085960,37,Pleasure Craft/Sailing,call sign,0.0358,0.51,0.4544,0.4711,0.5498,0.2142,0.4444,0,B,0.0046
CALLWDK7636_MMSI368086310,36,Pleasure Craft/Sailing,call sign,0.0519,0.5075,0.3808,0.4689,0.4502,0.2891,0.3077,0,B,0.0046
CALLWDK7639_MMSI338725000,57,Other,call sign,0.2395,0.5175,0.4725,0.4783,0.4502,1.0,0.184,5.2,A,0.4499
CALLWDK7650_MMSI368086440,37,Pleasure Craft/Sailing,call sign,0.0064,0.5,0.6078,0.4896,0.4502,0.31,0.4286,0,B,0.402
CALLWDK7657_MMSI368086520,56,Other,call sign,0.6088,0.5175,0.3827,0.4739,0.4502,0.0998,0,0,B,0.0046
CALLWDK7668_MMSI368086640,37,Pleasure Craft/Sailing,call sign,0.0343,0.5,0.4339,0.4762,0.4502,0.3318,0.4,0,B,0.0046
CALLWDK7681_MMSI368086760,37,Pleasure Craft/Sailing,call sign,0.0069,0.5,0.6831,0.5556,0.475,0.4502,0.6,0,B,0.0046
CALLWDK7686_MMSI368086810,30,Fishing,call sign,0.426,0.5125,0.3825,0.4721,0.4502,0.7109,0.3226,0,B,0.5328
CALLWDK7689_MMSI368086840,37,Pleasure Craft/Sailing,call sign,0.0181,0.505,0.4915,0.4765,0.4502,0.2315,0.4,0,B,0.0046
CALLWDK7710_MMSI368087050,37,Pleasure Craft/Sailing,call sign,0.009,0.505,0.519,0.5049,0.9644,0.1545,2.6,0,B,0.0046
CALLWDK7714_MMSI368087080,79,Cargo,call sign,0.3499,0.515,0.4083,0.479,0.4502,0.4256,0.3684,0.0,A,0.0046
CALLWDK7721_MMSI368087150,99,Other,call sign,0.0762,0.51,0.4795,0.4943,0.4502,0.5744,0.28,2.0,A,0.0046
CALLWDK7727_MMSI368087220,37,Pleasure Craft/Sailing,call sign,0.0006,0.495,0.909,0.4632,0.4502,0.475,0.2857,0,B,0.0046
CALLWDK7733_MMSI368087280,37,Pleasure Craft/Sailing,call sign,0.0136,0.505,0.7996,0.5324,0.475,0.2315,0.3,0,B,0.0046
CALLWDK7741_MMSI368087360,79,Cargo,call sign,0.104,0.5125,0.4408,0.4703,0.4502,0.2689,0.4167,0.0,A,0.5576
CALLWDK7769_MMSI368087650,37,Pleasure Craft/Sailing,call sign,0.014,0.505,0.5668,0.4792,0.4502,0.3543,0.5,0,B,0.3577
CALLWDK7779_MMSI368087760,36,Pleasure Craft/Sailing,call sign,0.0071,0.5025,0.4131,0.4733,0.4502,0.2497,0.2727,0,B,0.0046
CALLWDK7782_MMSI368087790,31,Tug Tow,call sign,0.0276,0.5075,0.4035,0.4699,0.4502,0.0998,0,0.0,A,0.0046
CALLWDK7784_MMSI368087810,37,Pleasure Craft/Sailing,call sign,0.021,0.5075,0.5005,0.4742,0.4502,0.0998,0,0,B,0.0046
CALLWDK7788_MMSI368005660,53,Other,call sign,0.0199,0.5,0.6102,0.5225,0.4502,0.1978,0.375,0.0,A,0.0046
CALLWDK7788_MMSI368115620,52,Unknown,call sign,0.0,0.495,0.31,0.4626,0.4502,0.2689,0.4167,0,B,0.0046
CALLWDK7791_MMSI368087860,37,Pleasure Craft/Sailing,call sign,0.0437,0.51,0.4888,0.4783,0.525,0.31,0.5,0,B,0.0046
CALLWDK7799_MMSI368087950,37,Pleasure Craft/Sailing,call sign,0.0389,0.505,0.74,0.5291,0.4502,0.5,0.2273,0,B,0.1536
CALLWDK7811_MMSI368088060,37,Pleasure Craft/Sailing,call sign,0.0014,0.4975,0.4423,0.4656,0.4502,0.2689,0.4167,0,B,0.0046
CALLWDK7817_MMSI368088110,37,Pleasure Craft/Sailing,call sign,0.0038,0.4975,0.404,0.4813,0.4502,0.0998,0,0,B,0.0046
CALLWDK7840_MMSI368088330,31,Tug Tow,call sign,0.2525,0.515,0.4013,0.4732,0.4502,0.8176,0.2973,0.0,A,0.0046
CALLWDK7841_MMSI368088340,37,Pleasure Craft/Sailing,call sign,0.0244,0.5075,0.853,0.4974,0.4502,0.7503,0.1212,0,B,0.0046
CALLWDK7865_MMSI368088590,65,Passenger,call sign,0.4844,0.5175,0.8509,0.5528,0.5987,0.9002,0.2727,0.0,A,0.4589
CALLWDK7866_MMSI368088610,60,Passenger,call sign,0.548,0.52,0.8462,0.553,0.525,0.9002,0.2727,1.9,A,0.4589
CALLWDK7870_MMSI368088640,36,Pleasure Craft/Sailing,call sign,0.077,0.5125,0.4465,0.4746,0.4502,0.2497,0.4545,0,B,0.0046
