key,numeric type,string type,ID,time ratio,number of line segments,mean speed,standard deviation in speed,number of acceleration points,length,ratio of width to length,type of cargo,receiver class,number of neighbors
CALL-------_MMSI368926054,35,Military,call sign,0.0449,0.51,0.511,0.4921,0.7858,1.0,0.1374,0.0,A,0.3754
CALL0000000_MMSI316047701,37,Pleasure Craft/Sailing,call sign,0.03,0.5075,0.5037,0.4688,0.4502,0.3775,0.2941,2.0,A,0.4265
CALL0000000_MMSI338358279,51,Other,call sign,0.0081,0.5,0.4544,0.5105,0.4502,0.1978,0.25,0,B,0.0046
CALL0000000_MMSI338366846,37,Pleasure Craft/Sailing,call sign,0.0385,0.5075,0.7406,0.5417,0.4502,0.1824,0.4286,0,B,0.0046
CALL0000000_MMSI338409969,37,Pleasure Craft/Sailing,call sign,0.0047,0.4975,0.4285,0.4766,0.4502,0.31,0.4286,0,B,0.0046
CALL0000000_MMSI360000000,90,Other,call sign,0.0026,0.5,0.5977,0.5104,0.475,0.9526,0.2692,3.3,A,0.0046
CALL000000_MMSI338364882,37,Pleasure Craft/Sailing,call sign,0.1813,0.515,0.4805,0.4766,0.5498,0.9999,0.0442,0,B,0.3438
CALL00001_MMSI319205900,37,Pleasure Craft/Sailing,call sign,0.0332,0.5075,0.427,0.4762,0.4502,0.525,0.2609,0,B,0.0046
CALL0000_MMSI338357082,37,Pleasure Craft/Sailing,call sign,0.0061,0.5025,0.4675,0.5202,0.8581,0.2142,0.2222,0,B,0.0046
CALL100%_MMSI91800144,30,Fishing,call sign,0.0103,0.4975,0.3612,0.4662,0.4502,0.2315,0.5,0,B,0.0046
CALL1144_MMSI412552200,0,Unknown,call sign,0.0025,0.495,0.4788,0.4723,0.4502,0.0998,0,0,B,0.0046
CALL1148302_MMSI338427516,37,Pleasure Craft/Sailing,call sign,0.0388,0.5075,0.3925,0.4724,0.4502,0.2497,0.3636,0,B,0.0046
CALL1155166_MMSI338398634,37,Pleasure Craft/Sailing,call sign,0.1761,0.5125,0.774,0.5073,0.4502,0.3775,0.3529,0,B,0.4127
CALL1193_MMSI941212643,0,Unknown,call sign,0.0043,0.495,0.391,0.4694,0.4502,0.0998,0,0,B,0.0046
CALL1201592_MMSI338367901,37,Pleasure Craft/Sailing,call sign,0.0216,0.5075,0.5334,0.4789,0.5,0.4013,0.2222,0,B,0.0046
CALL1203225_MMSI338361424,36,Pleasure Craft/Sailing,call sign,0.4254,0.515,0.4574,0.4719,0.4502,0.3543,0.5,0,B,0.3703
CALL1208_MMSI412552110,0,Unknown,call sign,0.0609,0.505,0.4499,0.4777,0.4502,0.0998,0,0,B,0.2868
CALL1227_MMSI941213778,0,Unknown,call sign,0.0057,0.5,0.511,0.4679,0.4502,0.0998,0,0,B,0.0046
CALL1234567_MMSI122020471,37,Pleasure Craft/Sailing,call sign,0.0123,0.5,0.4815,0.5097,0.5498,0.7685,0.2941,0,B,0.0046
CALL1246597_MMSI338319137,39,Other,call sign,0.0759,0.51,0.4526,0.4891,0.4502,0.2689,0.3333,0,B,0.3225
CALL1252778_MMSI338141024,37,Pleasure Craft/Sailing,call sign,0.0183,0.505,0.447,0.4837,0.4502,0.2497,0.3636,0,B,0.0046
CALL1272997_MMSI338407436,37,Pleasure Craft/Sailing,call sign,0.0065,0.5025,0.5451,0.5073,0.4502,0.31,0.5,0,B,0.0046
CALL1274822_MMSI338397574,36,Pleasure Craft/Sailing,call sign,0.0136,0.505,0.4263,0.4725,0.4502,0.0998,0,0,B,0.0046
CALL1293251_MMSI368082410,36,Pleasure Craft/Sailing,call sign,0.0072,0.5,0.4462,0.4812,0.4502,0.3318,0.4667,0,B,0.0046
CALL1298925_MMSI368116790,37,Pleasure Craft/Sailing,call sign,0.1706,0.515,0.814,0.4891,0.475,0.4502,0.4,0,B,0.3759
CALL1316476_MMSI368212870,36,Pleasure Craft/Sailing,call sign,0.0389,0.51,0.4359,0.4735,0.5744,0.3318,0.3333,0,B,0.0046
CALL2209_MMSI368926290,51,Other,call sign,0.0048,0.5,0.4013,0.4767,0.4502,0.0998,0,0,B,0.0046
CALL22332_MMSI338926332,51,Other,call sign,0.0016,0.4975,0.6397,0.5287,0.4502,0.1824,0.2857,1.0,A,0.0046
CALL28HS020_MMSI338238615,35,Military,call sign,0.13,0.5125,0.5695,0.5238,0.4502,0.2497,0.2727,0,B,0.3101
CALL28REG_MMSI338325183,37,Pleasure Craft/Sailing,call sign,0.0004,0.495,0.4066,0.4649,0.4502,0.1978,0.5,0,B,0.0046
CALL2BKM2_MMSI235066909,36,Pleasure Craft/Sailing,call sign,0.0661,0.5125,0.4574,0.4733,0.4502,0.2497,0.3636,0,B,0.3494
CALL2CTL7_MMSI982320187,37,Pleasure Craft/Sailing,call sign,0.0012,0.495,0.3982,0.4855,0.4502,0.168,0.3333,0,B,0.0046
CALL2CTL7_MMSI982320188,37,Pleasure Craft/Sailing,call sign,0.0062,0.5025,0.5479,0.5338,0.525,0.1545,0.4,0,B,0.0046
CALL2DGQ6_MMSI235078806,37,Pleasure Craft/Sailing,call sign,0.0371,0.5075,0.4199,0.4761,0.4502,0.2497,0.3636,0,B,0.0046
CALL2DXT6_MMSI235082858,37,Pleasure Craft/Sailing,call sign,0.0057,0.5,0.3498,0.467,0.4502,0.0998,0,0,B,0.0046
CALL2EBW5_MMSI235083815,37,Pleasure Craft/Sailing,call sign,0.016,0.505,0.632,0.5144,0.5,0.6225,0.3704,0,B,0.0046
CALL2ESE3_MMSI235087715,36,Pleasure Craft/Sailing,call sign,0.0107,0.505,0.4435,0.4766,0.4502,0.0998,0,0,B,0.3754
CALL2FBO6_MMSI235089885,0,Unknown,call sign,0.1603,0.515,0.4546,0.4703,0.9569,0.0998,0,0,B,0.2553
CALL2FMJ8_MMSI235092463,36,Pleasure Craft/Sailing,call sign,0.1723,0.515,0.4366,0.4746,0.4502,0.2891,0.2308,0,B,0.2559
CALL2GDG3_MMSI235096399,37,Pleasure Craft/Sailing,call sign,0.0352,0.5075,0.378,0.4691,0.4502,0.0998,0,0,B,0.0046
CALL2GKK5_MMSI235098163,37,Pleasure Craft/Sailing,call sign,0.1196,0.51,0.444,0.4735,0.4502,0.475,0.0,0,B,0.0046
CALL2HDQ4_MMSI235102778,36,Pleasure Craft/Sailing,call sign,0.0218,0.505,0.3927,0.4728,0.4502,0.2497,0.5455,0,B,0.0046
CALL2HGE4_MMSI235103401,36,Pleasure Craft/Sailing,call sign,0.125,0.5125,0.4231,0.4716,0.9569,0.2689,0.3333,0,B,0.0046
CALL2HLT8_MMSI235104697,37,Pleasure Craft/Sailing,call sign,0.0477,0.5025,0.4236,0.4975,0.475,0.6457,0.2143,0,B,0.0046
CALL2HMO6_MMSI235104879,37,Pleasure Craft/Sailing,call sign,0.0043,0.5025,0.4975,0.497,0.4502,0.4013,0.2778,0,B,0.0046
CALL2IFX3_MMSI235109409,0,Unknown,call sign,0.2428,0.5125,0.4541,0.4728,0.9998,0.0998,0,0,B,0.3618
CALL2JCM4_MMSI235114759,37,Pleasure Craft/Sailing,call sign,0.0035,0.5,0.6222,0.5276,0.4502,0.0998,0,0,B,0.0046
CALL2JJW3_MMSI235116535,36,Pleasure Craft/Sailing,call sign,0.0421,0.5075,0.4725,0.4752,0.4502,0.0998,0,0,B,0.0046
CALL2JSA4_MMSI235118453,0,Unknown,call sign,0.0688,0.51,0.4529,0.4705,0.4502,0.0998,0,0,A,0.3942
CALL315 CQ_MMSI338329445,37,Pleasure Craft/Sailing,call sign,0.0853,0.5125,0.697,0.5498,0.5,0.0998,0,0,B,0.3799
CALL3383568_MMSI338356872,37,Pleasure Craft/Sailing,call sign,0.0198,0.5075,0.8969,0.5462,0.4502,0.0998,0,0,B,0.351
CALL35BRAVO_MMSI316036627,51,Other,call sign,0.0681,0.51,0.6371,0.5607,0.4502,0.2142,0.2222,0,B,0.0046
CALL3620_MMSI368926583,35,Military,call sign,0.0082,0.5025,0.6461,0.5515,0.4502,0.0998,0,0,B,0.0046
CALL5VGA2_MMSI671082100,70,Cargo,call sign,0.3275,0.5175,0.4628,0.4753,0.937,0.8176,0.9459,2.0,A,0.3942
CALL685549_MMSI368203540,37,Pleasure Craft/Sailing,call sign,0.1238,0.5125,0.4675,0.475,0.4502,0.2891,0.3846,0,B,0.0046
CALL6YRP4_MMSI339315000,37,Pleasure Craft/Sailing,call sign,0.0332,0.5075,0.4775,0.488,0.4502,0.7503,0.0,0,B,0.3942
CALL6YRQ5_MMSI339335000,37,Pleasure Craft/Sailing,call sign,0.0535,0.51,0.4668,0.4796,0.4502,0.0998,0,0,A,0.0046
CALL6YRV8_MMSI339358000,37,Pleasure Craft/Sailing,call sign,0.0112,0.5,0.7356,0.5598,0.4502,0.0998,0,0,B,0.0046
CALL6YSB3_MMSI339399000,36,Pleasure Craft/Sailing,call sign,0.2003,0.515,0.5182,0.4705,0.4502,0.0998,0,0,B,0.2692
CALL6YSH3_MMSI339902000,37,Pleasure Craft/Sailing,call sign,0.0484,0.5075,0.4556,0.4789,0.4502,0.0998,0,0,B,0.0046
CALL6YSK3_MMSI339428000,37,Pleasure Craft/Sailing,call sign,0.0163,0.5075,0.4531,0.4849,0.4502,0.0998,0,0,A,0.0046
CALL6YSQ7_MMSI339478000,37,Pleasure Craft/Sailing,call sign,0.0,0.495,0.3521,0.4727,0.4502,0.0998,0,0,B,0.0046
CALL6YSQ9_MMSI339481000,37,Pleasure Craft/Sailing,call sign,0.0083,0.5025,0.6073,0.4852,0.4502,0.7311,0.2188,2.0,B,0.0046
CALL6YSR2_MMSI339482000,36,Pleasure Craft/Sailing,call sign,0.0364,0.5075,0.4574,0.4738,0.4502,0.0998,0,0,B,0.0046
CALL6YSY3_MMSI339547000,37,Pleasure Craft/Sailing,call sign,0.0384,0.505,0.531,0.4933,0.4502,0.5744,0.28,0,B,0.0046
CALL6YSZ7_MMSI339559000,36,Pleasure Craft/Sailing,call sign,0.0121,0.505,0.4683,0.4721,0.9569,0.0998,0,0,B,0.0046
CALL6YSZ8_MMSI339561000,36,Pleasure Craft/Sailing,call sign,0.0098,0.5025,0.4586,0.4681,0.5,0.0998,0,0,B,0.0046
CALL6YTG9_MMSI339635000,37,Pleasure Craft/Sailing,call sign,0.0091,0.495,0.3345,0.4635,0.4502,0.0998,0,0,B,0.0046
CALL6YTJ7_MMSI339659000,37,Pleasure Craft/Sailing,call sign,0.1803,0.515,0.5483,0.4722,0.4502,0.8455,0.2051,2.2,A,0.2926
CALL6YTK2_MMSI339663000,37,Pleasure Craft/Sailing,call sign,0.1594,0.515,0.4209,0.4742,0.4502,0.3543,0.5,0,B,0.3001
CALL6YTW5_MMSI339787000,37,Pleasure Craft/Sailing,call sign,0.035,0.5075,0.524,0.4929,0.4502,0.0998,0,2.4,A,0.3942
CALL6YTY9_MMSI339819000,37,Pleasure Craft/Sailing,call sign,0.0026,0.5,0.3825,0.4731,0.4502,0.7503,0.2424,2.6,A,0.0046
CALL6YUA9_MMSI339836000,37,Pleasure Craft/Sailing,call sign,0.0924,0.5075,0.6059,0.5077,0.6225,0.5987,0.2308,0,B,0.0046
CALL6YUB6_MMSI339843000,37,Pleasure Craft/Sailing,call sign,0.0688,0.51,0.5005,0.5066,0.6682,0.6225,0.2963,0,B,0.0046
CALL6YUB7_MMSI339844000,37,Pleasure Craft/Sailing,call sign,0.0151,0.5,0.4165,0.4776,0.4502,0.4013,0.3333,0,B,0.0046
CALL6YUC7_MMSI339852000,37,Pleasure Craft/Sailing,call sign,0.1179,0.515,0.6588,0.4855,0.8808,0.4502,0.3,0,B,0.0046
CALL6YUP6_MMSI339969000,36,Pleasure Craft/Sailing,call sign,0.0575,0.51,0.4398,0.4711,0.5744,0.3318,0.5333,0,B,0.0046
CALL6YUR7_MMSI339988000,37,Pleasure Craft/Sailing,call sign,0.0226,0.5075,0.6066,0.496,0.475,0.4256,0.3684,0,B,0.0046
CALL6YUS2_MMSI339992000,37,Pleasure Craft/Sailing,call sign,0.0271,0.5075,0.625,0.5061,0.4502,0.8022,0.2222,0,B,0.0046
CALL6YUS5_MMSI339995000,37,Pleasure Craft/Sailing,call sign,0.0517,0.51,0.5907,0.5005,0.4502,0.7685,0.2059,0,B,0.0046
CALL6YUS6_MMSI339996000,37,Pleasure Craft/Sailing,call sign,0.0013,0.495,0.4231,0.4857,0.5744,0.69,0.2,0,B,0.0046
CALL6YUS8_MMSI339998000,37,Pleasure Craft/Sailing,call sign,0.0703,0.51,0.528,0.4846,0.525,0.5987,0.2692,0,B,0.0046
CALL6YUT6_MMSI339103000,37,Pleasure Craft/Sailing,call sign,0.1306,0.51,0.533,0.4703,0.4502,0.2689,0.3333,0,B,0.2927
CALL6YUV4_MMSI339119000,30,Fishing,call sign,0.0621,0.5125,0.5085,0.4914,0.9999,0.7858,0.2,0.0,A,0.0046
CALL6YUV8_MMSI339124000,36,Pleasure Craft/Sailing,call sign,0.0834,0.51,0.426,0.4763,0.4502,0.3543,0.5,0,B,0.0046
CALL6YUY9_MMSI339151000,37,Pleasure Craft/Sailing,call sign,0.0005,0.495,0.5506,0.4659,0.4502,0.8022,0.1944,0,B,0.0046
CALL6YVA3_MMSI339162000,37,Pleasure Craft/Sailing,call sign,0.0515,0.5025,0.3464,0.4739,0.4502,0.69,0.2667,0,B,0.0046
CALL6YVC2_MMSI339178000,37,Pleasure Craft/Sailing,call sign,0.0615,0.51,0.4923,0.4984,0.525,0.8022,0.2222,0,B,0.0046
CALL6YVC9_MMSI339186000,37,Pleasure Craft/Sailing,call sign,0.0077,0.5,0.4049,0.4738,0.4502,0.7109,0.2581,0,B,0.0046
CALL6YVD8_MMSI339194000,37,Pleasure Craft/Sailing,call sign,0.0295,0.5075,0.5092,0.5097,0.7858,0.7858,0.2286,0,B,0.0046
CALL6YWC_MMSI339516000,0,Unknown,call sign,0.2158,0.515,0.4322,0.468,0.4502,0.0998,0,0,B,0.2997
CALL760;069_MMSI871160567,30,Fishing,call sign,0.1195,0.5075,0.6447,0.5347,0.475,0.0998,0,0,B,0.0046
CALL7DK2131_MMSI368032670,0,Unknown,call sign,0.0105,0.5025,0.4202,0.4722,0.4502,0.0998,0,0,B,0.0046
CALL861481_MMSI503033280,36,Pleasure Craft/Sailing,call sign,0.0074,0.4975,0.4371,0.4644,0.4502,0.31,0.5,0,B,0.0518
CALL8675309_MMSI338926972,51,Other,call sign,0.049,0.5075,0.6161,0.5484,0.4502,0.1978,0.375,1.0,A,0.3754
CALL8675309_MMSI368926385,0,Unknown,call sign,0.0453,0.51,0.7768,0.5388,0.4502,0.0998,0,0.0,A,0.3783
CALL8675309_MMSI369990429,0,Unknown,call sign,0.0139,0.505,0.5637,0.5368,0.4502,0.0998,0,1.0,A,0.0046
CALL8675309_MMSI369990465,0,Unknown,call sign,0.0211,0.505,0.5659,0.5528,0.4502,0.0998,0,0.0,A,0.0046
CALL9AA3578_MMSI238303040,36,Pleasure Craft/Sailing,call sign,0.0844,0.5125,0.4529,0.4723,0.4502,0.2689,0.5833,0,B,0.0046
CALL9HB6675_MMSI215313000,37,Pleasure Craft/Sailing,call sign,0.0516,0.51,0.5927,0.4696,0.4502,0.7311,0.25,0,B,0.2294
CALL9HB6679_MMSI229000821,37,Pleasure Craft/Sailing,call sign,0.0726,0.51,0.4828,0.4848,0.525,0.5,0.2273,0,B,0.0046
CALL9HB7109_MMSI215674000,36,Pleasure Craft/Sailing,call sign,0.0093,0.5,0.4124,0.4777,0.4502,0.525,0.4348,0,B,0.0046
CALL9HXC9_MMSI982496661,37,Pleasure Craft/Sailing,call sign,0.0108,0.505,0.5177,0.4755,0.4502,0.5,1.0,0,B,0.3754
CALL9HXC9_MMSI982496663,37,Pleasure Craft/Sailing,call sign,0.0047,0.5025,0.511,0.487,0.4502,0.5,1.0,0,B,0.3754
CALL9HXC9_MMSI982496664,37,Pleasure Craft/Sailing,call sign,0.039,0.5075,0.5292,0.4765,0.4502,0.5,1.0,0,B,0.3754
CALL9HXC9_MMSI982496665,37,Pleasure Craft/Sailing,call sign,0.0172,0.5025,0.5212,0.481,0.9089,0.5,1.0,0,B,0.0046
CALL9MSJ7_MMSI533130964,36,Pleasure Craft/Sailing,call sign,0.1193,0.51,0.3691,0.4777,0.4502,0.4256,0.4737,0,B,0.0046
CALLAAAAAAA_MMSI100000001,99,Other,call sign,0.0085,0.4975,0.3466,0.4653,0.4502,0.168,2.3333,0.0,A,0.0046
CALLAABBCC_MMSI228376700,79,Cargo,call sign,0.2286,0.515,0.4502,0.4854,0.4502,0.5,0.2727,4.2,A,0.4609
CALLAAED_MMSI368728000,90,Other,call sign,0.1226,0.515,0.4843,0.4753,0.4502,0.9955,0.0,0,A,0.4091
CALLAAEE_MMSI368729000,90,Other,call sign,0.0032,0.5,0.4016,0.4822,0.4502,0.9955,0.0,0,A,0.0046
CALLAAGF_MMSI369970512,35,Military,call sign,0.0602,0.5,0.3939,0.5037,0.4502,0.5,0.2727,0,B,0.0046
CALLAAGI_MMSI369970513,35,Military,call sign,0.0,0.495,0.3865,0.4984,0.4502,0.5,0.3182,0,B,0.0046
CALLAAHV_MMSI369970891,90,Other,call sign,0.005,0.5025,0.4432,0.4934,0.4502,0.0998,0,0,A,0.0046
CALLABC123_MMSI338376145,36,Pleasure Craft/Sailing,call sign,0.0312,0.5075,0.4908,0.4735,0.4502,0.4256,0.4211,0,B,0.402
CALLABSEAS_MMSI338330257,37,Pleasure Craft/Sailing,call sign,0.0177,0.5,0.491,0.5072,0.4502,0.2689,0.4167,0,B,0.0046
CALLADMU_MMSI368789000,90,Other,call sign,0.1665,0.515,0.5205,0.4814,0.4502,0.0998,0,0,A,0.3928
CALLADSV_MMSI368727000,90,Other,call sign,0.1671,0.515,0.4735,0.4874,0.4502,0.9963,0.2308,0,A,0.4267
CALLAEAE_MMSI369970656,31,Tug Tow,call sign,0.0042,0.5,0.3612,0.4715,0.4502,0.8699,0.2439,2.7,A,0.0046
CALLAEAP_MMSI368926277,35,Military,call sign,0.0201,0.4975,0.4517,0.4893,0.4502,0.0998,0,0.0,A,0.0046
CALLAEBF_MMSI369970725,90,Other,call sign,0.0465,0.5,0.3374,0.4643,0.4502,0.9089,0.0,0,A,0.0046
CALLAEBL_MMSI369970369,31,Tug Tow,call sign,0.2656,0.51,0.3886,0.4804,0.4502,0.0998,0,0,A,0.4208
CALLAEDY_MMSI366999422,0,Unknown,call sign,0.0913,0.5125,0.487,0.4888,0.4502,0.0998,0,0,A,0.5217
CALLAEEA_MMSI366999412,90,Other,call sign,0.2316,0.5175,0.5185,0.4826,0.4502,0.8176,0.0,0,A,0.5217
CALLAEEI_MMSI369853000,90,Other,call sign,0.3673,0.5125,0.4268,0.4825,0.4502,0.4256,0.0,0,A,0.3402
CALLAEEO_MMSI369970379,90,Other,call sign,0.0036,0.5025,0.379,0.4774,0.4502,0.525,0.3043,0,A,0.0046
CALLAEFN_MMSI369970592,37,Pleasure Craft/Sailing,call sign,0.0921,0.5125,0.56,0.5028,0.995,0.0998,0,0,B,0.0046
CALLAEFO_MMSI366999275,90,Other,call sign,0.1567,0.515,0.5002,0.4873,0.4502,0.0998,0,0,A,0.0046
CALLAEGC_MMSI369970441,90,Other,call sign,0.6044,0.5622,0.4708,0.467,0.4502,0.0998,0,0,A,0.3916
CALLAEGD_MMSI366999309,90,Other,call sign,0.0217,0.5075,0.5047,0.5121,0.4502,0.0998,0,0,B,0.2986
CALLAEGG_MMSI366999302,90,Other,call sign,0.0987,0.5125,0.529,0.5056,0.4502,0.0998,0,0,A,0.0046
CALLAEGP_MMSI369970566,90,Other,call sign,0.0048,0.495,0.3498,0.47,0.4502,0.0998,0,0,A,0.0046
CALLAEHB_MMSI369970330,31,Tug Tow,call sign,0.0295,0.5,0.3705,0.4734,0.4502,0.3543,0.3125,2.0,A,0.0046
CALLAEHG_MMSI369970434,90,Other,call sign,0.0609,0.51,0.4955,0.4813,0.4502,0.0998,0,0,A,0.0046
CALLAEHO_MMSI369970443,31,Tug Tow,call sign,0.0378,0.5025,0.3712,0.4745,0.4502,0.4256,0.3684,0,A,0.0046
CALLAEHP_MMSI369970438,31,Tug Tow,call sign,0.0137,0.5025,0.3548,0.4693,0.4502,0.0998,0,0,A,0.0046
CALLAEHV_MMSI366999407,90,Other,call sign,0.0768,0.5125,0.4656,0.5108,0.4502,0.0998,0,0,B,0.0046
CALLAEIO_MMSI369970472,31,Tug Tow,call sign,0.0206,0.5,0.3493,0.4683,0.4502,0.5,0.4545,0,A,0.0046
CALLAEIQ_MMSI369970473,31,Tug Tow,call sign,0.0726,0.51,0.4376,0.474,0.4502,0.3775,0.3529,0,A,0.0046
CALLAEJF_MMSI369970476,90,Other,call sign,0.0061,0.5,0.3759,0.4742,0.4502,0.3775,0.0,0,A,0.0046
CALLAEJG_MMSI369970475,90,Other,call sign,0.0623,0.5125,0.4658,0.4713,0.4502,0.0998,0,0,A,0.3577
CALLAEJS_MMSI366999327,35,Military,call sign,0.1287,0.5125,0.5815,0.4928,0.7109,0.4502,0.3,0,B,0.5637
CALLAEKE_MMSI369970502,90,Other,call sign,0.1084,0.505,0.3682,0.4737,0.4502,0.0998,0,0,A,0.0046
CALLAEKJ_MMSI366999409,31,Tug Tow,call sign,0.0547,0.505,0.375,0.4749,0.4502,0.0998,0,0,A,0.0046
CALLAEKK_MMSI366999332,90,Other,call sign,0.1925,0.515,0.505,0.478,0.6682,0.5744,0.36,0,A,0.5615
CALLAELA_MMSI369970558,90,Other,call sign,0.0379,0.51,0.6516,0.486,0.4502,0.0998,0,0,A,0.5548
CALLAELL_MMSI369970373,90,Other,call sign,0.0446,0.5075,0.411,0.4747,0.4502,0.0998,0,0,A,0.0046
CALLAELO_MMSI368926278,31,Tug Tow,call sign,0.1352,0.5025,0.3764,0.4733,0.4502,0.3775,0.3529,0,B,0.0046
CALLAEMB_MMSI368926294,35,Military,call sign,0.0033,0.5025,0.4579,0.4787,0.4502,0.4013,0.3889,0.0,A,0.0046
CALLAEMK_MMSI369970630,0,Unknown,call sign,0.1171,0.505,0.3573,0.4704,0.4502,0.0998,0,0,A,0.0046
CALLAEMV_MMSI368926022,0,Unknown,call sign,0.0447,0.5075,0.4212,0.4786,0.4502,0.0998,0,0,A,0.0046
CALLAEMZ_MMSI366999282,31,Tug Tow,call sign,0.2076,0.515,0.4314,0.4732,0.4502,0.0998,0,0,A,0.235
CALLAENA_MMSI368926035,0,Unknown,call sign,0.0007,0.495,0.3941,0.4736,0.4502,0.0998,0,0,A,0.0046
CALLAENC_MMSI368926400,35,Military,call sign,0.0784,0.5125,0.5392,0.5133,0.4502,0.2315,0.3,0,B,0.0046
CALLAENT_MMSI369970759,33,Other,call sign,0.0943,0.5125,0.505,0.5279,0.4502,0.0998,0,0,B,0.0046
CALLAENY_MMSI369970099,90,Other,call sign,0.042,0.51,0.5827,0.4939,0.4502,0.4013,0.3889,0,A,0.0046
CALLAENZ_MMSI369970029,35,Military,call sign,0.0929,0.5125,0.6953,0.5096,0.4502,0.3318,0.4,0,B,0.0046
CALLAEPC_MMSI369970907,90,Other,call sign,0.0409,0.5075,0.6978,0.5087,0.4502,0.0998,0,0,B,0.0046
CALLAEPR_MMSI366999373,90,Other,call sign,0.0001,0.495,0.3832,0.473,0.4502,0.0998,0,0,A,0.3402
CALLAEPU_MMSI368926043,90,Other,call sign,0.0339,0.5025,0.3603,0.4709,0.4502,0.0998,0,0,A,0.0046
CALLAEQE_MMSI368926288,33,Other,call sign,0.0598,0.51,0.5881,0.5247,0.4502,0.2142,0.3333,0.0,B,0.0046
CALLAEQF_MMSI368926289,33,Other,call sign,0.1324,0.5125,0.5227,0.5124,0.4502,0.1978,0.375,0,B,0.0046
CALLAEQL_MMSI368926365,57,Other,call sign,0.0316,0.5075,0.5272,0.555,0.4502,0.1978,0.375,0,B,0.4399
CALLAEQW_MMSI369970510,90,Other,call sign,0.1927,0.515,0.4725,0.4741,0.4502,0.0998,0,0,A,0.0046
CALLAESD_MMSI368296016,56,Other,call sign,0.0257,0.5,0.5627,0.5288,0.4502,0.2142,0.2222,0,B,0.0046
CALLAESJ_MMSI368926068,0,Unknown,call sign,0.0796,0.5125,0.5609,0.5189,0.4502,0.0998,0,0,A,0.2991
CALLAESL_MMSI368926076,33,Other,call sign,0.0261,0.5025,0.6651,0.5391,0.4502,0.0998,0,0,B,0.5217
CALLAESN_MMSI368926078,33,Other,call sign,0.0111,0.495,0.4329,0.4626,0.4502,0.0998,0,0,B,0.5217
CALLAESO_MMSI366999283,90,Other,call sign,0.1875,0.515,0.4415,0.4725,0.4502,0.0998,0,0,A,0.235
CALLAESQ_MMSI368926103,31,Tug Tow,call sign,0.0113,0.4975,0.3633,0.4706,0.4502,0.5,0.0,0,B,0.0046
CALLAESR_MMSI368926104,31,Tug Tow,call sign,0.0096,0.4975,0.3684,0.4691,0.4502,0.4502,0.4,0,B,0.0871
CALLAESZ_MMSI368926258,33,Other,call sign,0.0855,0.5125,0.7163,0.5478,0.4502,0.4256,0.3684,0.0,A,0.3569
CALLAETG_MMSI366999388,90,Other,call sign,0.0316,0.5075,0.4361,0.475,0.4502,0.0998,0,0,A,0.3402
CALLAEUD_MMSI368926627,0,Unknown,call sign,0.0424,0.51,0.6891,0.5502,0.4502,0.8022,0.0,0.0,A,0.0046
CALLAEUD_MMSI368926628,0,Unknown,call sign,0.0813,0.5125,0.6206,0.5391,0.4502,0.0998,0,0.0,A,0.0046
CALLAEUK_MMSI366999330,31,Tug Tow,call sign,0.0307,0.505,0.3996,0.4762,0.4502,0.0998,0,0,A,0.5594
CALLAEUT_MMSI368926656,35,Military,call sign,0.0713,0.51,0.6579,0.5635,0.4502,0.2142,0.2222,0,B,0.0046
CALLAEUV_MMSI366999413,90,Other,call sign,0.1999,0.5175,0.5045,0.4788,0.4502,0.5987,0.0,0,A,0.5217
CALLAEVH_MMSI366999314,90,Other,call sign,0.0424,0.5025,0.3946,0.478,0.4502,0.0998,0,0,A,0.0046
CALLAEVZ_MMSI369970445,90,Other,call sign,0.0573,0.5075,0.4016,0.4803,0.4502,0.0998,0,0,A,0.0046
CALLAEWY_MMSI366999276,90,Other,call sign,0.0148,0.5075,0.5454,0.4821,0.4502,0.4013,0.0,0,A,0.0046
CALLAFISHIA_MMSI338215785,37,Pleasure Craft/Sailing,call sign,0.0126,0.5025,0.5305,0.4954,0.4502,0.2142,0.4444,0,B,0.3754
CALLAILA_MMSI368103590,36,Pleasure Craft/Sailing,call sign,0.0141,0.5075,0.4324,0.471,0.4502,0.2142,0.4444,0,B,0.3754
CALLAPPLY_MMSI225984455,0,Unknown,call sign,0.066,0.51,0.4713,0.4694,0.4502,0.0998,0,0,B,0.1705
CALLAPPLY_MMSI338162373,37,Pleasure Craft/Sailing,call sign,0.0857,0.51,0.5975,0.5096,0.4502,0.4013,0.0,0,B,0.1705
CALLAQUILA_MMSI316042446,37,Pleasure Craft/Sailing,call sign,0.0227,0.5075,0.4643,0.4717,0.4502,0.3318,0.4,0,B,0.0046
CALLARGO 2_MMSI316037968,37,Pleasure Craft/Sailing,call sign,0.03,0.5,0.5075,0.541,0.4502,0.0998,0,0,B,0.2466
CALLARTHUR_MMSI338390586,37,Pleasure Craft/Sailing,call sign,0.0059,0.5025,0.7299,0.5601,0.4502,0.0998,0,0,B,0.4589
CALLAURORA_MMSI338145799,37,Pleasure Craft/Sailing,call sign,0.007,0.5,0.3898,0.4713,0.4502,0.2891,0.3077,0,B,0.2315
CALLAVIELLA_MMSI338395196,36,Pleasure Craft/Sailing,call sign,0.0165,0.505,0.4268,0.4759,1.0,0.2315,0.4,0,B,0.0046
CALLAYEA_MMSI368926276,33,Other,call sign,0.0081,0.505,0.4913,0.4726,0.4502,0.0998,0,0.0,A,0.0046
