1424,366,8584,CALL-------_MMSI368926054
181,102,74,CALL0000000_MMSI316047701
13,41109,98546,CALL0000000_MMSI338153700
10,192,63,CALL0000000_MMSI338318407
62,4075,30947,CALL0000000_MMSI338358279
254,1044,7142,CALL0000000_MMSI338366846
1122,538,3262,CALL0000000_MMSI338384516
13,282,232,CALL0000000_MMSI338409969
6856,88,1310,CALL0000000_MMSI360000000
1055,518,7215,CALL000000_MMSI338364882
2408,251,2209,CALL00001_MMSI319205900
39,2375,11815,CALL0000_MMSI338357082
15,15203,55096,CALL100%_MMSI91800144
5,105,38,CALL1046857_MMSI338335621
3,2334,2271,CALL1144_MMSI412552200
205,1338,12809,CALL1148302_MMSI338427516
3193,189,46,CALL1154690_MMSI338394264
588,356,2866,CALL1155166_MMSI338398634
1930,313,2478,CALL1167602_MMSI338229937
2382,254,146,CALL1191180_MMSI338311215
737,179,54,CALL1192144_MMSI338243222
8,896,1411,CALL1193_MMSI941212643
111,120,259,CALL1201592_MMSI338367901
2496,242,4879,CALL1203225_MMSI338361424
87,427,1129,CALL1208_MMSI412552110
126,225,114,CALL1216713_MMSI121776489
2505,241,126,CALL1227128_MMSI338361788
23,158,117,CALL1227_MMSI941213778
17,30808,115790,CALL1234567_MMSI122020471
1623,372,275,CALL1234567_MMSI316039128
1094,550,661,CALL1238731_MMSI338395166
538,1050,12907,CALL1246597_MMSI338319137
97,118,57,CALL1252778_MMSI338141024
39,122,106,CALL1272997_MMSI338407436
344,170,71,CALL1274822_MMSI338397574
2183,277,2328,CALL1292561_MMSI338391597
883,419,634,CALL1293251_MMSI368082410
207,2901,7662,CALL1293346_MMSI338347938
3111,194,1953,CALL1298925_MMSI368116790
2281,265,2277,CALL1300534_MMSI338365526
8,174,70,CALL1300593_MMSI338387656
9,173,44,CALL1301953_MMSI338368108
241,1823,26621,CALL1316476_MMSI368212870
44,3735,17028,CALL2209_MMSI368926290
12,43226,84776,CALL22332_MMSI338926332
777,345,3586,CALL28HS020_MMSI338238615
6,130,62,CALL28REG_MMSI338325183
3,299,85,CALL2BAA4_MMSI235064348
423,1138,21122,CALL2BKM2_MMSI235066909
14,1992,5061,CALL2CTL7_MMSI982320187
172,2655,25777,CALL2CTL7_MMSI982320188
2,1979,1801,CALL2CZA6_MMSI235076966
254,1341,11613,CALL2DGQ6_MMSI235078806
21,480,410,CALL2DST3_MMSI235081787
444,1351,2084,CALL2DXT6_MMSI235082858
114,194,195,CALL2EBW5_MMSI235083815
47,11007,40016,CALL2EHO2_MMSI235085199
16,491,1007,CALL2EME6_MMSI235086311
1046,442,3385,CALL2EMU4_MMSI235086452
2613,222,998,CALL2ESE3_MMSI235087715
846,443,6045,CALL2FBO6_MMSI235089885
1138,92,101,CALL2FMJ8_MMSI235092463
24,425,350,CALL2FPB6_MMSI235093067
1052,575,3426,CALL2GDG3_MMSI235096399
884,587,4684,CALL2GKK5_MMSI235098163
97,147,114,CALL2HDQ4_MMSI235102778
870,646,9969,CALL2HGE4_MMSI235103401
468,1281,6116,CALL2HLT8_MMSI235104697
27,109,46,CALL2HMO6_MMSI235104879
3114,194,2843,CALL2IFX3_MMSI235109409
21,104,70,CALL2JCM4_MMSI235114759
659,916,1597,CALL2JJB3_MMSI235116332
3255,186,57,CALL2JJW3_MMSI235116535
560,971,13935,CALL2JSA4_MMSI235118453
1563,343,3404,CALL315 CQ_MMSI338329445
166,268,2000,CALL3383568_MMSI338356872
328,1235,12612,CALL35BRAVO_MMSI316036627
55,1878,13000,CALL3620_MMSI368926583
1696,356,272,CALL5055209_MMSI316037774
6,360,181,CALL5M7154_MMSI316043703
4609,131,2202,CALL5VGA2_MMSI671082100
2506,241,124,CALL675274_MMSI338379767
746,727,8202,CALL685549_MMSI368203540
2268,266,153,CALL6YR04_MMSI339301000
396,139,101,CALL6YRP4_MMSI339315000
494,1081,22486,CALL6YRQ5_MMSI339335000
47,178,122,CALL6YRV8_MMSI339358000
1452,77,128,CALL6YRW7_MMSI339365000
27,207,81,CALL6YRX8_MMSI339377000
933,525,10389,CALL6YSB3_MMSI339399000
3,280,197,CALL6YSE4_MMSI339604000
2497,242,2173,CALL6YSH3_MMSI339902000
151,69,16,CALL6YSK3_MMSI339428000
793,762,3924,CALL6YSP7_MMSI339473000
99,5674,23003,CALL6YSQ7_MMSI339478000
44,9575,50502,CALL6YSQ9_MMSI339481000
1285,452,5792,CALL6YSR2_MMSI339482000
6541,92,1341,CALL6YSU3_MMSI339514000
35,16273,54277,CALL6YSX2_MMSI339538000
185,1070,12429,CALL6YSY3_MMSI339547000
2436,248,176,CALL6YSZ7_MMSI339559000
662,913,5469,CALL6YSZ8_MMSI339561000
1327,456,2991,CALL6YTC3_MMSI339581000
2144,282,2340,CALL6YTC5_MMSI339582000
63,9263,19239,CALL6YTD5_MMSI339592000
785,348,270,CALL6YTG9_MMSI339635000
2811,106,2090,CALL6YTJ7_MMSI339659000
1026,351,5198,CALL6YTK2_MMSI339663000
1490,406,2838,CALL6YTT9_MMSI339766000
304,75,30,CALL6YTW5_MMSI339787000
1881,321,2779,CALL6YTX7_MMSI339799000
47,11779,36538,CALL6YTY4_MMSI339814000
50,77,34,CALL6YTY9_MMSI339819000
1756,344,2607,CALL6YU07_MMSI339960000
1923,314,2584,CALL6YUA9_MMSI339836000
2483,243,2189,CALL6YUB6_MMSI339843000
62,268,200,CALL6YUB7_MMSI339844000
2298,263,2704,CALL6YUC7_MMSI339852000
102,5614,33972,CALL6YUF2_MMSI339871000
1211,499,3135,CALL6YUH8_MMSI339894000
6629,91,1332,CALL6YUI3_MMSI339897000
544,1111,13188,CALL6YUP6_MMSI339969000
546,603,4358,CALL6YUR7_MMSI339988000
1385,436,2935,CALL6YUS2_MMSI339992000
1264,290,274,CALL6YUS5_MMSI339995000
7,14283,31071,CALL6YUS6_MMSI339996000
1967,268,2449,CALL6YUS8_MMSI339998000
50,11426,50133,CALL6YUT3_MMSI339931000
864,92,39,CALL6YUT6_MMSI339103000
1245,485,3106,CALL6YUT8_MMSI339105000
576,637,10892,CALL6YUV4_MMSI339119000
2441,248,1437,CALL6YUV8_MMSI339124000
2,331,33,CALL6YUY9_MMSI339151000
1657,312,4381,CALL6YVA3_MMSI339162000
1899,318,2496,CALL6YVC2_MMSI339178000
103,3545,28306,CALL6YVC9_MMSI339186000
625,574,8698,CALL6YVD8_MMSI339194000
1409,93,46,CALL6YWC_MMSI339516000
1495,404,2809,CALL760;069_MMSI871160567
239,424,786,CALL7DK2131_MMSI368032670
1030,587,4992,CALL7DM2613_MMSI368189830
6,760,921,CALL861481_MMSI503033280
24,523,2156,CALL8675309_MMSI338926918
6,609,1173,CALL8675309_MMSI338926927
268,1863,15112,CALL8675309_MMSI338926972
430,210,2998,CALL8675309_MMSI368926385
112,3656,37638,CALL8675309_MMSI369990429
205,68,8,CALL8675309_MMSI369990465
541,984,12250,CALL9AA3578_MMSI238303040
723,833,5341,CALL9HB3491_MMSI229497000
298,1858,8416,CALL9HB5359_MMSI215000629
925,653,3747,CALL9HB6508_MMSI215076000
336,97,92,CALL9HB6675_MMSI215313000
2472,245,2182,CALL9HB6679_MMSI229000821
3,169,56,CALL9HB6719_MMSI256001191
2158,280,2337,CALL9HB7109_MMSI215674000
64,103,44,CALL9HXC9_MMSI982496661
32,96,31,CALL9HXC9_MMSI982496663
207,1565,14710,CALL9HXC9_MMSI982496664
95,315,1941,CALL9HXC9_MMSI982496665
2454,245,529,CALL9MSJ7_MMSI533130964
3280,184,31,CALL9MTE2_MMSI533130187
2233,271,2298,CALL9MXY9_MMSI533130512
5,1138,1865,CALLA794000_MMSI983397940
183,3048,20387,CALLA9D3436_MMSI408886000
71,77,17,CALLAAAAAAA_MMSI100000001
1741,229,5923,CALLAABBCC_MMSI228376700
1175,467,10075,CALLAAED_MMSI368728000
43,65,3,CALLAAEE_MMSI368729000
3265,168,2775,CALLAAGF_MMSI369970512
1050,554,4948,CALLAAGI_MMSI369970513
54,64,8,CALLAAHV_MMSI369970891
2052,295,2397,CALLABACO_MMSI338330025
1,841,0,CALLABC1234_MMSI338361843
652,230,157,CALLABC123_MMSI338376145
3090,196,56,CALLABCD_MMSI338389013
53,427,506,CALLABSEAS_MMSI338330257
1523,328,6549,CALLADMU_MMSI368789000
409,70,7,CALLADMZ_MMSI366957000
1467,126,1626,CALLADSV_MMSI368727000
13,70,1,CALLAEAB_MMSI366999267
8046,75,506,CALLAEAE_MMSI369970656
1,67578,0,CALLAEAF_MMSI369970500
8072,75,507,CALLAEAJ_MMSI366999333
15,6005,18072,CALLAEAP_MMSI368926277
7973,76,511,CALLAEBF_MMSI369970725
1999,302,3770,CALLAEBL_MMSI369970369
8025,75,508,CALLAEBV_MMSI369970329
8076,75,506,CALLAECY_MMSI366999450
879,634,14008,CALLAEDY_MMSI366999422
2035,267,4433,CALLAEEA_MMSI366999412
7344,82,624,CALLAEEB_MMSI369997000
7135,85,861,CALLAEEI_MMSI369853000
6671,91,1076,CALLAEEO_MMSI369970379
2297,260,3014,CALLAEFN_MMSI369970592
1726,325,8075,CALLAEFO_MMSI366999275
4406,108,1638,CALLAEGC_MMSI369970441
117,115,77,CALLAEGD_MMSI366999309
2048,265,7469,CALLAEGG_MMSI366999302
74,69,12,CALLAEGP_MMSI369970566
273,69,6,CALLAEHB_MMSI369970330
6728,90,1322,CALLAEHG_MMSI369970434
8078,75,506,CALLAEHO_MMSI369970443
8095,75,506,CALLAEHP_MMSI369970438
539,1010,21408,CALLAEHV_MMSI366999407
8059,75,507,CALLAEIO_MMSI369970472
2857,120,1288,CALLAEIQ_MMSI369970473
6612,91,1365,CALLAEIV_MMSI369970471
125,4344,39629,CALLAEJF_MMSI369970476
580,189,2858,CALLAEJG_MMSI369970475
834,658,11928,CALLAEJS_MMSI366999327
2209,251,4223,CALLAEKE_MMSI369970502
501,67,6,CALLAEKJ_MMSI366999409
2513,147,2719,CALLAEKK_MMSI366999332
339,296,4184,CALLAELA_MMSI369970558
1734,69,14,CALLAELL_MMSI369970373
3229,187,801,CALLAELO_MMSI368926278
254,94,369,CALLAEMB_MMSI368926294
7470,81,588,CALLAEMI_MMSI366999387
2899,192,2747,CALLAEMK_MMSI369970630
8117,75,505,CALLAEMN_MMSI369970628
417,1260,15692,CALLAEMV_MMSI368926022
2522,219,3682,CALLAEMZ_MMSI366999282
6809,89,1314,CALLAENA_MMSI368926035
6823,89,1313,CALLAENB_MMSI368926036
800,406,5404,CALLAENC_MMSI368926400
8773,69,8,CALLAENJ_MMSI369970657
621,737,10996,CALLAENT_MMSI369970759
406,263,3505,CALLAENY_MMSI369970099
2754,219,2069,CALLAENZ_MMSI369970029
8061,75,507,CALLAEOG_MMSI368926038
950,636,4500,CALLAEPC_MMSI369970907
645,81,20,CALLAEPR_MMSI366999373
8127,74,505,CALLAEPU_MMSI368926043
8051,75,507,CALLAEQC_MMSI369970978
801,689,14485,CALLAEQE_MMSI368926288
894,600,11018,CALLAEQF_MMSI368926289
199,2219,29847,CALLAEQL_MMSI368926365
1709,320,7889,CALLAEQW_MMSI369970510
28,3926,17311,CALLAESD_MMSI368296016
1821,290,6369,CALLAESJ_MMSI368926068
47,616,1916,CALLAESL_MMSI368926076
50,233,138,CALLAESN_MMSI368926078
2536,218,3232,CALLAESO_MMSI366999283
240,491,4861,CALLAESQ_MMSI368926103
3083,196,820,CALLAESR_MMSI368926104
6363,95,1987,CALLAESZ_MMSI368926258
8061,75,507,CALLAETG_MMSI366999388
442,1190,17394,CALLAEUD_MMSI368926627
765,146,2234,CALLAEUD_MMSI368926628
