latitude,longitude,number of ships,inflection fraction
23,-139.6367251,4,0
23,-137.5680329,1,0
23,-135.4993407,38,0
23,-134.4649946,10,0
23,-133.4306485,6,0
23,-132.3963023,15,0
23,-129.293264,17,0
23,-127.2245718,14,0
23,-126.1902257,99,0.01010101
23,-125.1558796,172,0
23,-124.1215334,114,0.00877193
23,-123.0871873,103,0
23,-122.0528412,248,0
23,-121.0184951,328,0
23,-119.984149,743,0.001345895
23,-118.9498029,1704,0.000586855
23,-117.9154568,2338,0.000427716
23,-116.8811107,3946,0.000253421
23,-115.8467646,3469,0.000576535
23,-114.8124184,2885,0.001039861
23,-113.7780723,2299,0.000434972
23,-112.7437262,2993,0.000668226
23,-111.7093801,2407,0.007062734
23,-110.675034,272,0.022058824
23,-109.6406879,14,0.071428571
23,-97.22853453,134,0
23,-96.19418842,82,0
23,-95.15984231,54,0
23,-94.1254962,1,0
23,-93.09115009,52,0
23,-92.05680397,23,0
23,-91.02245786,1,0
23,-88.95376564,65,0
23,-87.91941953,109,0.018348624
23,-86.88507341,377,0.00530504
23,-85.8507273,915,0.005464481
23,-84.81638119,684,0.002923977
23,-83.78203508,2211,0.001809136
23,-82.74768897,2524,0.000792393
23,-81.71334285,1218,0.000821018
23,-80.67899674,690,0.001449275
23,-79.64465063,365,0.008219178
23,-78.61030452,78,0.012820513
23,-77.5759584,19,0
23,-73.43857396,18,0.055555556
23,-72.40422784,3,0
24,-148.3727525,2,0
24,-142.1473223,3,0
24,-137.9970355,2,0
24,-136.9594638,23,0
24,-135.9218921,21,0
24,-133.8467488,21,0
24,-132.8091771,39,0
24,-131.7716054,15,0
24,-130.7340337,6,0
24,-129.696462,28,0
24,-128.6588903,27,0
24,-126.5837469,54,0
24,-125.5461752,231,0
24,-124.5086035,219,0
24,-123.4710318,785,0
24,-122.4334601,712,0.005617978
24,-121.3958884,1858,0.002152853
24,-120.3583167,2265,0.000441501
24,-119.320745,2936,0.0003406
24,-118.2831733,3137,0.000318776
24,-117.2456016,2837,0
24,-116.2080299,1757,0.001138304
24,-115.1704582,1621,0.000616903
24,-114.1328865,2478,0.000403551
24,-113.0953148,6098,0.002295835
24,-112.0577431,2788,0.004304161
24,-111.0201715,38,0.052631579
24,-97.53173941,71,0
24,-96.49416771,468,0.004273504
24,-95.45659601,165,0
24,-94.41902432,8,0
24,-93.38145262,33,0
24,-92.34388093,59,0.016949153
24,-91.30630923,101,0
24,-90.26873753,98,0
24,-89.23116584,34,0.029411765
24,-88.19359414,65,0.030769231
24,-87.15602245,303,0.01650165
24,-86.11845075,1442,0.006934813
24,-85.08087906,5050,0.003366337
24,-84.04330736,9687,0.001548467
24,-83.00573566,18158,0.000826082
24,-81.96816397,43008,0.000232515
24,-80.93059227,26068,0.000460335
24,-79.89302058,11527,0.000433764
24,-78.85544888,387,0.002583979
24,-76.78030549,10,0
24,-75.74273379,17,0
24,-74.7051621,53,0.018867925
24,-72.63001871,17,0
24,-71.59244701,3,0.333333333
25,-144.694396,1,0
25,-143.6534291,30,0
25,-142.6124622,15,0
25,-137.4076278,15,0
25,-136.366661,1,0
25,-135.3256941,1,1
25,-134.2847272,13,0
25,-133.2437603,13,0
25,-132.2027934,122,0
25,-131.1618266,7,0
25,-130.1208597,9,0
25,-129.0798928,31,0
25,-128.0389259,85,0
25,-126.9979591,519,0
25,-125.9569922,799,0
25,-124.9160253,1166,0
25,-123.8750584,1211,0.001651528
25,-122.8340915,1299,0.001539646
